"","x"
"1300","4"
"1301","0"
"1302","7"
"1303","0"
"1304","3"
"1305","4"
"1306","0"
"1307","6"
"1308","0"
"1309","3"
"1310","3"
"1311","0"
"1312","0"
"1313","0"
"1314","12"
"1315","2"
"1316","8"
"1317","0"
"1318","0"
"1319","0"
"1320","0"
"1321","0"
"1322","4"
"1323","0"
"1324","0"
"1325","11"
"1326","4"
"1327","10"
"1328","3"
"1329","0"
"1330","0"
"1331","0"
"1332","0"
"1333","0"
"1334","4"
"1335","0"
"1336","0"
"1337","5"
"1338","4"
"1339","12"
"1340","6"
"1341","3"
"1342","2"
"1343","0"
"1344","8"
"1345","3"
"1346","4"
"1347","0"
"1348","6"
"1349","6"
"1350","12"
"1351","0"
"1352","0"
"1353","0"
"1354","10"
"1355","0"
"1356","3"
"1357","0"
"1358","10"
"1359","6"
"1360","0"
"1361","6"
"1362","0"
"1363","15"
"1364","11"
"1365","3"
"1366","10"
"1367","0"
"1368","0"
"1369","0"
"1370","4"
"1371","6"
"1372","4"
"1373","0"
"1374","8"
"1375","9"
"1376","0"
"1377","0"
"1378","10"
"1379","0"
"1380","1"
"1381","4"
"1382","0"
"1383","11"
"1384","6"
"1385","10"
"1386","3"
"1387","4"
"1388","4"
"1389","6"
"1390","11"
"1391","14"
"1392","14"
"1393","0"
"1394","0"
"1395","9"
"1396","14"
"1397","10"
"1398","0"
"1399","0"
"1400","13"
"1401","7"
"1402","13"
"1403","6"
"1404","0"
"1405","2"
"1406","4"
"1407","11"
"1408","7"
"1409","10"
"1410","11"
"1411","10"
"1412","10"
"1413","6"
"1414","0"
"1415","0"
"1416","10"
"1417","0"
"1418","10"
"1419","13"
"1420","0"
"1421","0"
"1422","3"
"1423","0"
"1424","10"
"1425","5"
"1426","2"
"1427","3"
"1428","0"
"1429","11"
"1430","0"
"1431","0"
"1432","0"
"1433","0"
"1434","8"
"1435","0"
"1436","0"
"1437","4"
"1438","7"
"1439","0"
"1440","10"
"1441","2"
"1442","3"
"1443","0"
"1444","0"
"1445","14"
"1446","4"
"1447","8"
"1448","0"
"1449","6"
"1450","4"
"1451","9"
"1452","4"
"1453","0"
"1454","3"
"1455","2"
"1456","7"
"1457","0"
"1458","4"
"1459","3"
"1460","4"
"1461","13"
"1462","13"
"1463","8"
"1464","0"
"1465","14"
"1466","8"
"1467","0"
"1468","0"
"1469","3"
"1470","8"
"1471","0"
"1472","3"
"1473","0"
"1474","0"
"1475","0"
"1476","0"
"1477","7"
"1478","6"
"1479","0"
"1480","15"
"1481","0"
"1482","0"
"1483","10"
"1484","10"
"1485","8"
"1486","0"
"1487","0"
"1488","4"
"1489","0"
"1490","3"
"1491","6"
"1492","0"
"1493","8"
"1494","6"
"1495","14"
"1496","3"
"1497","4"
"1498","4"
"1499","2"
"1500","2"
"1501","2"
"1502","5"
"1503","4"
"1504","4"
"1505","0"
"1506","4"
"1507","0"
"1508","0"
"1509","11"
"1510","12"
"1511","2"
"1512","3"
"1513","3"
"1514","2"
"1515","0"
"1516","0"
"1517","10"
"1518","1"
"1519","2"
"1520","0"
"1521","4"
"1522","15"
"1523","4"
"1524","4"
"1525","7"
"1526","3"
"1527","9"
"1528","7"
"1529","0"
"1530","4"
"1531","10"
"1532","0"
"1533","9"
"1534","0"
"1535","3"
"1536","4"
"1537","0"
"1538","0"
"1539","4"
"1540","10"
"1541","0"
"1542","0"
"1543","6"
"1544","0"
"1545","8"
"1546","0"
"1547","3"
"1548","1"
"1549","2"
"1550","0"
"1551","0"
"1552","8"
"1553","3"
"1554","2"
"1555","0"
"1556","0"
"1557","5"
"1558","0"
"1559","0"
"1560","15"
"1561","0"
"1562","0"
"1563","2"
"1564","5"
"1565","3"
"1566","0"
"1567","9"
"1568","9"
"1569","0"
"1570","5"
"1571","0"
"1572","6"
"1573","2"
"1574","0"
"1575","4"
"1576","0"
"1577","2"
"1578","0"
"1579","0"
"1580","0"
"1581","9"
"1582","11"
"1583","3"
"1584","1"
"1585","1"
"1586","11"
"1587","4"
"1588","3"
"1589","0"
"1590","11"
"1591","11"
"1592","10"
"1593","3"
"1594","0"
"1595","0"
"1596","0"
"1597","2"
"1598","4"
"1599","0"
"1600","3"
"1601","11"
"1602","0"
"1603","0"
"1604","3"
"1605","9"
"1606","13"
"1607","2"
"1608","6"
"1609","0"
"1610","2"
"1611","8"
"1612","4"
"1613","0"
"1614","0"
"1615","4"
"1616","0"
"1617","1"
"1618","7"
"1619","4"
"1620","5"
"1621","7"
"1622","2"
"1623","0"
"1624","9"
"1625","10"
"1626","4"
"1627","10"
"1628","3"
"1629","6"
"1630","4"
"1631","0"
"1632","3"
"1633","5"
"1634","0"
"1635","15"
"1636","0"
"1637","11"
"1638","0"
"1639","11"
"1640","5"
"1641","0"
"1642","11"
"1643","0"
"1644","8"
"1645","0"
"1646","8"
"1647","2"
"1648","8"
"1649","5"
"1650","7"
"1651","3"
"1652","0"
"1653","3"
"1654","0"
"1655","0"
"1656","1"
"1657","0"
"1658","4"
"1659","5"
"1660","4"
"1661","4"
"1662","11"
"1663","0"
"1664","0"
"1665","6"
"1666","11"
"1667","0"
"1668","0"
"1669","0"
"1670","2"
"1671","4"
"1672","3"
"1673","3"
"1674","0"
"1675","14"
"1676","1"
"1677","0"
"1678","0"
"1679","15"
"1680","13"
"1681","0"
"1682","0"
"1683","0"
"1684","6"
"1685","4"
"1686","6"
"1687","0"
"1688","6"
"1689","14"
"1690","4"
"1691","8"
"1692","0"
"1693","7"
"1694","4"
"1695","2"
"1696","3"
"1697","0"
"1698","10"
"1699","2"
"1700","4"
"1701","8"
"1702","0"
"1703","0"
"1704","12"
"1705","0"
"1706","3"
"1707","2"
"1708","8"
"1709","8"
"1710","0"
"1711","14"
"1712","0"
"1713","1"
"1714","10"
"1715","10"
"1716","4"
"1717","1"
"1718","7"
"1719","3"
"1720","9"
"1721","0"
"1722","3"
"1723","2"
"1724","0"
"1725","7"
"1726","10"
"1727","3"
"1728","11"
"1729","15"
"1730","0"
"1731","2"
"1732","0"
"1733","6"
"1734","11"
"1735","3"
"1736","7"
"1737","8"
"1738","2"
"1739","0"
"1740","0"
"1741","0"
"1742","0"
"1743","0"
"1744","5"
"1745","0"
"1746","12"
"1747","4"
"1748","4"
"1749","2"
"1750","0"
"1751","6"
"1752","5"
"1753","4"
"1754","3"
"1755","2"
"1756","7"
"1757","5"
"1758","0"
"1759","0"
"1760","4"
"1761","0"
"1762","0"
"1763","3"
"1764","15"
"1765","0"
"1766","4"
"1767","3"
"1768","6"
"1769","1"
"1770","2"
"1771","0"
"1772","14"
"1773","0"
"1774","0"
"1775","0"
"1776","9"
"1777","5"
"1778","13"
"1779","14"
"1780","0"
"1781","8"
"1782","0"
"1783","0"
"1784","3"
"1785","6"
"1786","14"
"1787","0"
"1788","0"
"1789","0"
"1790","6"
"1791","0"
"1792","1"
"1793","10"
"1794","2"
"1795","0"
"1796","8"
"1797","0"
"1798","2"
"1799","2"
"1800","0"
"1801","0"
"1802","8"
"1803","10"
"1804","4"
"1805","0"
"1806","0"
"1807","3"
"1808","0"
"1809","0"
"1810","0"
"1811","0"
"1812","0"
"1813","2"
"1814","0"
"1815","0"
"1816","0"
"1817","1"
"1818","4"
"1819","10"
"1820","14"
"1821","2"
"1822","3"
"1823","0"
"1824","0"
"1825","0"
"1826","7"
"1827","7"
"1828","8"
"1829","5"
"1830","2"
"1831","0"
"1832","11"
"1833","5"
"1834","1"
"1835","5"
"1836","0"
"1837","0"
"1838","11"
"1839","0"
"1840","0"
"1841","0"
"1842","1"
"1843","9"
"1844","0"
"1845","11"
"1846","3"
"1847","4"
"1848","4"
"1849","3"
"1850","1"
"1851","8"
"1852","14"
"1853","13"
"1854","13"
"1855","11"
"1856","4"
"1857","0"
"1858","6"
"1859","10"
"1860","3"
"1861","9"
"1862","0"
"1863","10"
"1864","4"
"1865","1"
"1866","0"
"1867","11"
"1868","0"
"1869","0"
"1870","2"
"1871","15"
"1872","4"
"1873","15"
"1874","0"
"1875","6"
"1876","2"
"1877","8"
"1878","13"
"1879","0"
"1880","10"
"1881","2"
"1882","0"
"1883","3"
"1884","3"
"1885","3"
"1886","8"
"1887","3"
"1888","4"
"1889","7"
"1890","0"
"1891","4"
"1892","8"
"1893","1"
"1894","2"
"1895","2"
"1896","0"
"1897","4"
"1898","3"
"1899","0"
"1900","4"
"1901","0"
"1902","3"
"1903","0"
"1904","0"
"1905","0"
"1906","14"
"1907","2"
"1908","7"
"1909","0"
"1910","0"
"1911","6"
"1912","15"
"1913","8"
"1914","0"
"1915","7"
"1916","3"
"1917","0"
"1918","0"
"1919","0"
"1920","0"
"1921","9"
"1922","0"
"1923","12"
"1924","1"
"1925","12"
"1926","5"
"1927","2"
"1928","3"
"1929","0"
"1930","0"
"1931","0"
"1932","10"
"1933","3"
"1934","3"
"1935","0"
"1936","15"
"1937","0"
"1938","0"
"1939","2"
"1940","2"
"1941","2"
"1942","0"
"1943","0"
"1944","0"
"1945","3"
"1946","15"
"1947","0"
"1948","9"
"1949","15"
"1950","0"
"1951","0"
"1952","2"
"1953","6"
"1954","8"
"1955","0"
"1956","4"
"1957","2"
"1958","3"
"1959","0"
"1960","11"
"1961","0"
"1962","4"
"1963","0"
"1964","7"
"1965","0"
"1966","0"
"1967","5"
"1968","8"
"1969","0"
"1970","4"
"1971","7"
"1972","3"
"1973","0"
"1974","8"
"1975","10"
"1976","0"
"1977","0"
"1978","2"
"1979","4"
"1980","6"
"1981","4"
"1982","0"
"1983","12"
"1984","4"
"1985","4"
"1986","4"
"1987","0"
"1988","0"
"1989","2"
"1990","0"
"1991","0"
"1992","10"
"1993","4"
"1994","6"
"1995","9"
"1996","5"
"1997","0"
"1998","1"
"1999","8"
"2000","0"
"2001","3"
"2002","3"
"2003","6"
"2004","0"
"2005","12"
"2006","0"
"2007","0"
"2008","13"
"2009","3"
"2010","0"
"2011","7"
"2012","0"
"2013","14"
"2014","0"
"2015","0"
"2016","0"
"2017","4"
"2018","4"
"2019","10"
"2020","0"
"2021","0"
"2022","4"
"2023","1"
"2024","14"
"2025","3"
"2026","3"
"2027","3"
"2028","4"
"2029","0"
"2030","14"
"2031","2"
"2032","0"
"2033","8"
"2034","0"
"2035","10"
"2036","0"
"2037","1"
"2038","0"
"2039","3"
"2040","9"
"2041","4"
"2042","0"
"2043","0"
"2044","0"
"2045","0"
"2046","3"
"2047","0"
"2048","3"
"2049","0"
"2050","0"
"2051","4"
"2052","0"
"2053","0"
"2054","12"
"2055","0"
"2056","0"
"2057","1"
"2058","3"
"2059","6"
"2060","3"
"2061","3"
"2062","11"
"2063","0"
"2064","6"
"2065","3"
"2066","0"
"2067","10"
"2068","3"
"2069","0"
"2070","4"
"2071","0"
"2072","14"
"2073","3"
"2074","4"
"2075","3"
"2076","0"
"2077","6"
"2078","6"
"2079","4"
"2080","0"
"2081","0"
"2082","10"
"2083","2"
"2084","4"
"2085","3"
"2086","9"
"2087","0"
"2088","0"
"2089","5"
"2090","0"
"2091","0"
"2092","2"
"2093","1"
"2094","8"
"2095","4"
"2096","8"
"2097","1"
"2098","4"
"2099","8"
"2100","5"
"2101","2"
"2102","7"
"2103","3"
"2104","7"
"2105","4"
"2106","2"
"2107","15"
"2108","0"
"2109","9"
"2110","0"
"2111","0"
"2112","0"
"2113","0"
"2114","4"
"2115","0"
"2116","0"
"2117","0"
"2118","3"
"2119","7"
"2120","4"
"2121","0"
"2122","0"
"2123","0"
"2124","0"
"2125","0"
"2126","4"
"2127","7"
"2128","3"
"2129","6"
"2130","8"
"2131","0"
"2132","0"
"2133","5"
"2134","0"
"2135","13"
"2136","3"
"2137","11"
"2138","15"
"2139","0"
